Timepoint	Bioreactor	Case_control	Before_after	Methanobacteria	Actinobacteria	Coriobacteriia	Bacteroidia	Bacilli	Clostridia	Erysipelotrichi	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Epsilonproteobacteria	Gammaproteobacteria	Verrucomicrobiae
0	B1	Control	Before	0	24	0	4683	270	4388	211	288	500	325	0	153	0
10	B1	Control	Before	0	41	73	2704	829	3129	4100	0	683	0	0	160	0
18	B1	Control	Before	0	139	163	2441	716	3685	3459	0	817	0	0	192	0
24	B1	Control	Before	0	164	125	1606	454	4248	4477	0	906	15	0	114	0
34	B1	Control	Before	0	3217	180	545	372	7935	1455	0	358	10	0	122	0
42	B1	Control	Before	71	3570	173	683	358	5582	1979	0	727	19	0	208	0
48	B1	Control	Before	107	2072	0	650	522	4858	2330	0	890	0	0	119	0
58	B1	Control	After	9	15019	85	120	835	1571	587	0	945	0	0	0	0
66	B1	Control	After	0	9573	0	55	412	5946	199	0	850	0	0	0	0
72	B1	Control	After	0	6267	26	76	586	6927	165	0	710	0	0	47	0
84	B1	Control	After	0	6136	0	0	1127	7642	232	0	557	6	0	0	0
0	B2	Control	Before	0	0	0	7738	0	4949	40	252	228	459	0	233	938
12	B2	Control	Before	0	0	237	6138	35	6865	4833	116	772	109	0	23	0
24	B2	Control	Before	10	0	145	4363	0	4651	9344	96	610	156	0	17	0
36	B2	Control	Before	140	4620	183	2656	377	4059	7255	41	1187	205	0	36	94
48	B2	Control	Before	0	6459	214	2302	646	3728	3391	20	1999	116	0	0	83
60	B2	Control	After	0	12255	44	261	1045	3740	524	0	1626	41	0	32	63
72	B2	Control	After	5	12829	69	181	489	3993	160	0	1189	29	0	121	24
0	B3	Case	Before	0	20	12	8818	0	7093	49	89	822	351	0	316	669
12	B3	Case	Before	0	14	288	3885	154	3195	17755	0	475	0	0	570	43
24	B3	Case	Before	0	0	109	3357	185	3595	15135	0	676	92	0	1282	0
24.5	B3	Case	Before	7	0	252	3758	332	4798	12850	0	514	98	0	1610	151
36	B3	Case	Before	42	20	81	3002	1241	11652	1980	0	479	43	87	1171	74
48	B3	Case	Before	34	0	67	1997	441	12552	1507	0	269	10	170	847	42
60	B3	Case	After	0	0	0	922	1966	12493	554	0	291	17	470	460	17
72	B3	Case	After	49	32	22	809	1235	13950	504	0	0	21	1940	299	33
0	B4	Case	Before	0	0	0	7832	0	7757	36	73	592	420	0	236	400
12	B4	Case	Before	99	0	215	4649	0	4674	10391	61	600	119	0	1016	49
24	B4	Case	Before	44	15	70	3066	0	3475	19709	26	642	212	0	2404	0
24.5	B4	Case	Before	134	24	9	3465	0	5417	12008	34	837	229	16	3390	0
36	B4	Case	Before	166	0	28	1457	4	11976	3935	0	359	70	245	1750	20
48	B4	Case	Before	179	27	0	901	34	15808	2651	0	325	31	98	1133	0
60	B4	Case	After	142	20	0	448	0	13682	1238	0	116	53	432	748	0
72	B4	Case	After	208	0	20	386	49	11924	857	0	104	19	570	700	5
0	B5	Control	Before	0	18	0	7158	0	7478	140	86	409	407	0	178	144
10	B5	Control	Before	0	0	320	5899	0	4292	8239	20	1228	32	0	57	0
24	B5	Control	Before	48	118	278	4439	54	3145	7570	66	1166	37	0	66	28
34	B5	Control	Before	17	73	260	4420	772	3615	5151	31	2235	34	0	38	0
48	B5	Control	Before	114	74	283	4000	86	4202	6046	82	2516	45	0	63	13
58	B5	Control	After	87	103	226	1988	137	15195	751	13	882	12	0	28	0
72	B5	Control	After	13	113	0	658	72	15974	673	0	691	11	0	33	0
0	B6	Control	Before	0	0	0	8339	0	9443	92	155	567	392	0	303	505
12	B6	Control	Before	71	0	779	7582	0	6114	1317	72	1226	154	0	86	67
24	B6	Control	Before	44	0	1087	7346	45	6020	1326	75	1143	201	0	71	35
36	B6	Control	Before	119	111	765	6032	1147	4616	983	0	2507	164	0	48	104
48	B6	Control	Before	61	7550	270	4550	1241	3046	761	23	1834	209	0	81	113
60	B6	Control	After	0	11979	182	3054	1154	2126	876	0	2052	104	0	156	140
72	B6	Control	After	51	4295	133	1796	677	5802	382	0	1528	58	0	96	49
