Timepoint	Bioreactor	Case_control	Before_after	Methanobacteria	Actinobacteria	Coriobacteriia	Bacteroidia	Bacilli	Clostridia	Erysipelotrichi	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Epsilonproteobacteria	Gammaproteobacteria	Verrucomicrobiae
0	B2	Control	Before 	0	0	0	0.245877157	0	0.124528207	0.001563538	0.421404682	0.027794709	0.299022801	0	0.333810888	0.585518102
12	B2	Control	Before 	0	0	0.265695067	0.1950367	0.013503086	0.172739168	0.188914514	0.193979933	0.09411191	0.071009772	0	0.032951289	0
24	B2	Control	Before 	0.064516129	0	0.162556054	0.138635569	0	0.117029842	0.365242544	0.160535117	0.074363038	0.101628664	0	0.024355301	0
36	B2	Control	Before 	0.903225806	0.127754888	0.205156951	0.084395157	0.145447531	0.102133763	0.283586757	0.068561873	0.144703157	0.133550489	0	0.051575931	0.058676654
48	B2	Control	After	0	0.178607969	0.239910314	0.073146706	0.249228395	0.093805043	0.132548958	0.033444816	0.243691332	0.075570033	0	0	0.051810237
60	B2	Control	After	0	0.338882283	0.049327354	0.008293349	0.40316358	0.09410699	0.020482352	0	0.198220163	0.026710098	0	0.045845272	0.039325843
72	B2	Control	After	0.032258065	0.35475486	0.07735426	0.005751327	0.188657407	0.100473051	0.006254153	0	0.144946971	0.018892508	0	0.173352436	0.014981273
0	B3	Case	Before 	0	0	0.23255814	0.014440433	0.332153081	0	0.102310755	0.000973497	0.233125355	0.555379747	0	0.048207475	0.650145773
12	B3	Case	Before 	0	0	0.162790698	0.346570397	0.146338707	0.027727764	0.046085276	0.352743672	0.134713556	0	0	0.086956522	0.041788144
24	B3	Case	Before 	0	0.083333333	0	0.131167268	0.126450203	0.033309327	0.05185495	0.300691382	0.191718661	0.14556962	0	0.195575896	0
24.5	B3	Case	Before 	0.053030303	0	0	0.303249097	0.141554919	0.059776737	0.069207247	0.255294632	0.145774248	0.155063291	0	0.245614035	0.146744412
36	B3	Case	Before 	0.318181818	0.35	0.23255814	0.097472924	0.113078198	0.223442564	0.168070621	0.039337227	0.135847986	0.068037975	0.032620922	0.178642258	0.07191448
48	B3	Case	After	0.257575758	0	0	0.080625752	0.075222239	0.079402233	0.181052389	0.029940001	0.076290414	0.015822785	0.063742032	0.12921434	0.040816327
60	B3	Case	After	0	0.188888889	0	0	0.034729546	0.353979114	0.180201362	0.011006477	0.082529779	0.026898734	0.176227972	0.070175439	0.016520894
72	B3	Case	After	0.371212121	0.377777778	0.372093023	0.026474128	0.030473105	0.222362261	0.201217401	0.010013112	0	0.033227848	0.727409074	0.045614035	0.032069971
0	B4	Case	Before 	0	0	0	0.248864034	0	0.195183936	0.001407184	0.122073579	0.072168719	0.273615635	0	0.338108883	0.24968789
12	B4	Case	Before 	0.101851852	0	0.628654971	0.209376689	0	0.062559394	0.204446631	0.31443299	0.167832168	0.10320902	0	0.08930298	0.103375527
24	B4	Case	Before 	0.04526749	0.174418605	0.204678363	0.138083228	0	0.046511317	0.387781604	0.134020619	0.17958042	0.18386817	0	0.211303507	0
24.5	B4	Case	Before 	0.137860082	0.279069767	0.026315789	0.156052963	0	0.072504116	0.236261682	0.175257732	0.234125874	0.198612316	0.011756062	0.297969588	0
36	B4	Case	Before 	0.170781893	0	0.081871345	0.065618807	0.045977011	0.160293389	0.077422528	0	0.10041958	0.060711188	0.180014695	0.153819109	0.042194093
48	B4	Case	After	0.184156379	0.313953488	0	0.040578274	0.390804598	0.211582991	0.05215937	0	0.090909091	0.026886383	0.072005878	0.099586886	0
60	B4	Case	After	0.146090535	0.23255814	0	0.020176545	0	0.183127434	0.024358091	0	0.032447552	0.045967042	0.317413666	0.065746682	0
72	B4	Case	After	0.21399177	0	0.058479532	0.017384255	0.563218391	0.159597393	0.016861781	0	0.029090909	0.016478751	0.418809699	0.061527643	0.010548523
0	B1	Control	Before 	0	0.000519233	0	0.345277593	0.041660238	0.078481873	0.010993019	1	0.062948508	0.866666667	0	0.137219731	0
