"","Timepoint","Bioreactor","Case_control","Before_after","Actinobacteria","Coriobacteriia","Bacteroidia","Bacilli","Clostridia","Erysipelotrichi","Alphaproteobacteria","Betaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","Other"
"1",0,"B1","Control","Before",0.00218023255813953,0.000181686046511628,0.425417877906977,0.0245276162790698,0.398619186046512,0.0191678779069767,0.0261627906976744,0.045421511627907,0.0295239825581395,0.0138989825581395,0.0148982558139535
"2",10,"B1","Control","Before",0.00349680170575693,0.00622601279317697,0.230618336886994,0.0707036247334755,0.266865671641791,0.349680170575693,0.000170575692963753,0.0582515991471215,0.000170575692963753,0.0136460554371002,0.000170575692963753
"3",18,"B1","Control","Before",0.0119641934928559,0.0140299535203994,0.210105009468067,0.0616285074883801,0.317180237562403,0.297727663969702,0.000172146668961956,0.0703219142709589,0.000172146668961956,0.0165260802203477,0.000172146668961956
"4",24,"B1","Control","Before",0.0135391727895649,0.0103194914554611,0.132584826219764,0.0374803929662346,0.350697597622389,0.369602905968794,0.000165111863287377,0.0747956740691819,0.00123833897465533,0.0094113762073805,0.000165111863287377
"5",34,"B1","Control","Before",0.226581208620933,0.0126778419495704,0.038385688125088,0.0262008733624454,0.558881532610227,0.102479222425694,0.000140864910550782,0.0252148189885899,0.000704324552753909,0.00859275954359769,0.000140864910550782
"6",42,"B1","Control","Before",0.266975770266228,0.0129374813042178,0.051076877056536,0.0267723601555489,0.41743942566557,0.14799581214478,0.000149566257852229,0.0543673347292851,0.00142087944959617,0.0155548908166318,0.00530960215375411
"7",48,"B1","Control","Before",0.179331833131383,0.000173100225030293,0.0562575731348451,0.0451791587329064,0.420460446598581,0.201661762160291,0.000173100225030293,0.0770296001384802,0.000173100225030293,0.0102994633893024,0.00926086203912065
"8",58,"B1","Control","After",0.783177765031027,0.00443239297074621,0.00625749595870053,0.0435417427126245,0.0819210512593211,0.0306095843979767,0.000104291599311675,0.0492777806747666,0.000104291599311675,0.000104291599311675,0.00046931219690254
"9",66,"B1","Control","After",0.561630976826049,0.000117336462305661,0.00322675271340569,0.0241713112349663,0.348841302434732,0.0116749779994133,0.000117336462305661,0.0498679964799061,0.000117336462305661,0.000117336462305661,0.000117336462305661
"10",72,"B1","Control","After",0.423160027008778,0.00175557056043214,0.00513166779203241,0.0395678595543552,0.467724510465901,0.0111411208642809,0.000135043889264011,0.0479405806887238,0.000135043889264011,0.00317353139770425,0.000135043889264011
"11",84,"B1","Control","After",0.39057924888606,0.000127307447485678,0.000127307447485678,0.0717377466581795,0.486441756842775,0.0147676639083386,0.000127307447485678,0.0354551241247613,0.000381922342457034,0.000127307447485678,0.000127307447485678
"12",0,"B2","Control","Before",0.000134743650205484,0.000134743650205484,0.521323182645018,0.000134743650205484,0.33342316243347,0.00269487300410968,0.016977699925891,0.0153607761234252,0.0309236677221586,0.0156976352489389,0.063194771946372
"13",12,"B2","Control","Before",0.000104536901526239,0.0123876228308593,0.320823750784027,0.00182939577670918,0.358822914488815,0.252613422538156,0.00606314028852185,0.0403512439891282,0.00569726113318001,0.00120217436755175,0.000104536901526239
"14",24,"B2","Control","Before",0.000103114044132811,0.00747576819962879,0.224943287275727,0.000103114044132811,0.239791709630852,0.481748814188492,0.00494947411837492,0.0314497834605073,0.00804289544235925,0.000876469375128893,0.000515570220664054
"15",36,"B2","Control","Before",0.221550855991944,0.00877571572435621,0.12736776483,0.0180789334867885,0.194648252050065,0.347911571476526,0.00196614396010166,0.0569222653814799,0.00983071980050832,0.00172637030643073,0.0112214069917997
"16",48,"B2","Control","Before",0.340664556962025,0.0112869198312236,0.121413502109705,0.0340717299578059,0.19662447257384,0.178850210970464,0.00105485232067511,0.105432489451477,0.00611814345991561,0.000105485232067511,0.00437763713080169
"17",60,"B2","Control","After",0.624204146080579,0.00224112463709061,0.0132939438700148,0.053226710130902,0.190495594152702,0.0266897570417155,0.000101869301685937,0.0828197422706667,0.00208832068456171,0.00162990882697499,0.00320888300310701
"18",72,"B2","Control","After",0.671992038133152,0.00361426850348332,0.00948090723377508,0.0256141637420774,0.209156146875491,0.00838091247184537,0.000104761405898067,0.0622806558064009,0.00151904038552197,0.00633806505683306,0.00151904038552197
"19",0,"B3","Case","Before",0.00109265734265734,0.000655594405594406,0.481752622377622,0.000109265734265734,0.387510926573427,0.00267701048951049,0.00486232517482517,0.0449082167832168,0.0191761363636364,0.017263986013986,0.0399912587412587
"20",12,"B3","Case","Before",0.000530644733351021,0.0109161202289353,0.147253913504908,0.00583709206686124,0.121100708789751,0.672971231474813,7.58063904787174e-05,0.0180040177386954,7.58063904787174e-05,0.0216048212864344,0.00162983739529242
"21",24,"B3","Case","Before",8.1799591002045e-05,0.00445807770961145,0.137300613496933,0.00756646216768916,0.147034764826176,0.619018404907975,8.1799591002045e-05,0.0276482617586912,0.00376278118609407,0.0524335378323108,0.000613496932515337
"22",24.5,"B3","Case","Before",8.20546483958316e-05,0.0103388856978748,0.154180684335768,0.013621071633708,0.1968491015016,0.527201115943218,8.20546483958316e-05,0.0210880446377287,0.00402067777139575,0.0660539919586445,0.0064823172232707
"23",36,"B3","Case","Before",0.00100315995385464,0.0040627978131113,0.150574309073582,0.0622460751366805,0.584440989115715,0.0993128354316096,0.000100315995385464,0.0240256808948187,0.00215679390078748,0.0587350152981893,0.0133420273862667
"24",48,"B3","Case","Before",0.000111482720178372,0.00373467112597547,0.111315496098105,0.0245819397993311,0.699665551839465,0.0840022296544036,0.000111482720178372,0.0149944258639911,0.000557413600891862,0.0472129319955407,0.0137123745819398
"25",60,"B3","Case","After",0.000116076610562972,0.000116076610562972,0.0535113174695299,0.114103308183401,0.725072547881602,0.0321532211259431,0.000116076610562972,0.0168891468369124,0.000986651189785258,0.0266976204294835,0.0302379570516541
"26",72,"B3","Case","After",0.00168696293953292,0.00115978702092888,0.0426485318150667,0.0651062259475987,0.735410406452633,0.0265696662976435,0.000105435183720808,0.000105435183720808,0.00110706942906848,0.0157625599662607,0.110337919763825
"27",0,"B4","Case","Before",0.000115074798619102,0.000115074798619102,0.450632911392405,0.000115074798619102,0.446317606444189,0.00207134637514384,0.00420023014959724,0.0340621403912543,0.0241657077100115,0.0135788262370541,0.0246260069044879
"28",12,"B4","Case","Before",9.14202130090963e-05,0.00982767289847785,0.212506285139644,9.14202130090963e-05,0.213649037802258,0.47497371668876,0.00278831649677744,0.0274260639027289,0.00543950267404123,0.0464414682086209,0.00676509576267313
"29",24,"B4","Case","Before",0.000505612296491051,0.00235952405029157,0.103347153402771,6.74149728654734e-05,0.11713351535376,0.664340850102808,0.000876394647251154,0.021640206289817,0.00714598712374018,0.0810327973842991,0.00155054437590589
"30",24.5,"B4","Case","Before",0.000938783493056914,0.000352043809896343,0.135536866810092,7.82319577547428e-05,0.211891257578721,0.469704674359476,0.00132994328183063,0.0327400743203599,0.00895755916291805,0.132603168394289,0.00586739683160571
"31",36,"B4","Case","Before",9.98751560549313e-05,0.00139825218476904,0.0727590511860175,0.000199750312109863,0.598052434456929,0.196504369538077,9.98751560549313e-05,0.0179275905118602,0.0034956304619226,0.0873907615480649,0.0220724094881398
"32",48,"B4","Case","Before",0.00127412580812609,9.43796894908216e-05,0.0425180501156151,0.00160445472134397,0.745977065735454,0.125100278420084,9.43796894908216e-05,0.0153366995422585,0.00146288518710773,0.0534660940965504,0.0130715869944788
"33",60,"B4","Case","After",0.00118448326917382,0.000118448326917382,0.0265324252294936,0.000118448326917382,0.810305004441812,0.0733195143618596,0.000118448326917382,0.00687000296120817,0.00313888066331063,0.044299674267101,0.0339946698252887
"34",72,"B4","Case","After",0.000134652932067596,0.00134652932067596,0.025988015889046,0.0032989968356561,0.802800780987006,0.0576987813909648,0.000134652932067596,0.00700195246751498,0.00127920285464216,0.0471285262236585,0.0531879081667003
"35",0,"B5","Case","Before",0.00112156520655493,0.000124618356283881,0.446009097140009,0.000124618356283881,0.46594803414543,0.00872328493987164,0.00535858932020687,0.0254844538600536,0.0253598355037697,0.0110910337092654,0.0106548694622718
"36",10,"B5","Case","Before",9.94975374359485e-05,0.0159196059897518,0.29346798666733,9.94975374359485e-05,0.213521715337545,0.40988010546739,0.000994975374359485,0.0610914879856724,0.00159196059897518,0.00283567981692453,0.000497487687179742
"37",24,"B5","Case","Before",0.00692122705143997,0.0163059416974603,0.260367176960526,0.00316734119303185,0.184468297260836,0.444014311689835,0.00387119479148337,0.0683911079828729,0.00217021526189219,0.00387119479148337,0.00645199131913895
"38",34,"B5","Case","Before",0.00438543794304938,0.0156193680163403,0.265529256277784,0.0463775081100565,0.2171692899195,0.309443710200649,0.00186230926348672,0.134266490448156,0.00204253274059834,0.0022828307100805,0.00102126637029917
"39",48,"B5","Case","Before",0.00422278018717188,0.0161492809860762,0.228258388495777,0.00490755535265921,0.239785437114814,0.345012554211367,0.00467929696416343,0.143574526363844,0.00256790687057749,0.00359506961880849,0.00724720383474093
"40",58,"B5","Case","After",0.00530326433940892,0.0116362887447225,0.102358150550922,0.00705385645144681,0.782360210071053,0.0386674904747194,0.000669344042838019,0.0454124189063948,0.000617856039542787,0.0014416640922665,0.0044794562866852
"41",72,"B5","Case","After",0.0061924594476107,0.000109601052170101,0.0360587461639632,0.00394563787812363,0.875383603682595,0.0368807540552389,0.000109601052170101,0.0378671635247698,0.000602805786935555,0.00180841736080666,0.00104120999561596
"42",0,"B6","Control","Before",0.000100903082589173,0.000100903082589173,0.420715402855557,0.000100903082589173,0.476413904444781,0.00464154179910196,0.00781998890066092,0.0286060239140306,0.0197770041874779,0.0152868170122597,0.0264366076383634
"43",12,"B6","Control","Before",0.000114311842706904,0.0445244627343393,0.433356195701875,0.000114311842706904,0.349451303155007,0.0752743484224966,0.00411522633744856,0.0700731595793324,0.00880201188843164,0.00491540923639689,0.00925925925925926
"44",24,"B6","Control","Before",0.000114975567691865,0.0624892210405289,0.422305260132222,0.00258695027306697,0.346076458752515,0.0762288013797068,0.00431158378844496,0.0657085369359011,0.0115550445530325,0.00408163265306122,0.00454153492382869
"45",36,"B6","Control","Before",0.00668755271719484,0.0460898903482347,0.363417279190264,0.0691047114110134,0.278105795879022,0.0592240028919147,0.000120496445354862,0.15104229425232,0.00988070851909869,0.00289191468851669,0.0134353536570671
"46",48,"B6","Control","Before",0.382491514261107,0.0136785044835098,0.230508131110999,0.0628704594964284,0.154313795025077,0.038553118192411,0.00116520593748417,0.0929125082324333,0.0105881756927909,0.00410355134505294,0.00881503622270632
"47",60,"B6","Control","After",0.548715129861207,0.00833676881498786,0.139892812972379,0.0528606110576703,0.0973844533003527,0.0401264257248866,9.16128441207457e-05,0.0939947780678851,0.00476386789427878,0.00714580184141817,0.00668773762081444
"48",72,"B6","Control","After",0.288856009146547,0.00894478445087094,0.120788217095971,0.0455309704754859,0.390207814916941,0.0256910350393436,0.000134508036855202,0.102764140157374,0.00390073306880086,0.0064563857690497,0.0067254018427601
