Timepoint	Bioreactor	Case_control	Before_after	Bifidobacteriales	Coriobacteriales	Bacteroidales	Lactobacillales	Clostridiales	Erysipelotrichales	Burkholderiales	Desulfovibrionales	Enterobacteriales	Other
0	B1	Control	Before	24	0	4683	270	4388	211	500	325	153	452
10	B1	Control	Before	41	73	2704	829	3129	4100	683	0	160	0
18	B1	Control	Before	139	163	2441	716	3685	3459	817	0	192	0
24	B1	Control	Before	164	125	1606	454	4248	4477	906	15	114	0
34	B1	Control	Before	3217	180	545	372	7935	1455	358	10	122	0
42	B1	Control	Before	3570	173	683	358	5582	1979	727	19	208	71
48	B1	Control	Before	2072	0	650	522	4858	2330	890	0	119	107
58	B1	Control	After	15019	85	120	835	1571	587	945	0	0	9
66	B1	Control	After	9573	0	55	412	5946	199	850	0	0	0
72	B1	Control	After	6267	26	76	586	6927	165	710	0	34	13
84	B1	Control	After	6136	0	0	1127	7642	232	557	6	0	0
0	B2	Control	Before	0	0	7738	0	4949	40	228	459	233	1190
12	B2	Control	Before	0	237	6138	35	6865	4833	772	109	23	116
24	B2	Control	Before	0	145	4363	0	4651	9344	610	156	17	106
36	B2	Control	Before	4620	183	2656	377	4059	7255	1187	205	29	282
48	B2	Control	Before	6459	214	2302	646	3728	3391	1999	116	0	103
60	B2	Control	After	12255	44	261	1045	3740	524	1626	41	32	63
72	B2	Control	After	12829	69	181	489	3993	160	1189	29	121	29
0	B3	Case	Before	20	12	8818	0	7093	49	822	351	311	826
12	B3	Case	Before	14	288	3885	154	3195	17755	475	0	570	43
24	B3	Case	Before	0	109	3357	185	3595	15135	676	92	1274	23
24.5	B3	Case	Before	0	252	3758	332	4798	12850	514	98	1599	169
36	B3	Case	Before	20	81	3002	1241	11652	1980	479	43	1171	266
48	B3	Case	Before	0	67	1997	441	12552	1507	269	10	847	246
60	B3	Case	After	0	0	922	1966	12493	554	291	17	460	521
72	B3	Case	After	32	22	809	1235	13950	504	0	21	299	2093
0	B4	Case	Before	0	0	7832	0	7757	36	592	420	236	501
12	B4	Case	Before	0	215	4649	0	4674	10391	600	119	1016	209
24	B4	Case	Before	15	70	3066	0	3475	19709	642	212	2400	76
24.5	B4	Case	Before	24	9	3465	0	5417	12008	837	229	3390	184
36	B4	Case	Before	0	28	1457	4	11976	3935	359	70	1750	442
48	B4	Case	Before	27	0	901	34	15808	2651	325	31	1133	277
60	B4	Case	After	20	0	448	0	13682	1238	116	53	745	577
72	B4	Case	After	0	20	386	49	11924	857	104	19	700	790
