Timepoint	Actinobacteria	Coriobacteriia	Bacteroidia	Bacilli	Clostridia	Erysipelotrichi	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Gammaproteobacteria	Other
0	20	12	8818	0	7093	49	89	822	351	316	732
12	14	288	3885	154	3195	17755	0	475	0	570	43
24	0	109	3357	185	3595	15135	0	676	92	1282	15
36	20	81	3002	1241	11652	1980	0	479	43	1171	266
48	0	67	1997	441	12552	1507	0	269	10	847	246
60	0	0	922	1966	12493	554	0	291	17	460	521
72	32	22	809	1235	13950	504	0	0	21	299	2093
0	0	0	7832	0	7757	36	73	592	420	236	428
12	0	215	4649	0	4674	10391	61	600	119	1016	148
24	15	70	3066	0	3475	19709	26	642	212	2404	46
36	0	28	1457	4	11976	3935	0	359	70	1750	442
48	27	0	901	34	15808	2651	0	325	31	1133	277
60	20	0	448	0	13682	1238	0	116	53	748	574
72	0	20	386	49	11924	857	0	104	19	700	790
