Timepoint	Actinobacteria	Coriobacteriia	Bacteroidia	Bacilli	Clostridia	Erysipelotrichi	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Gammaproteobacteria	Other
0	24	0	4683	270	4388	211	288	500	325	153	164
12	41	73	2704	829	3129	4100	0	683	0	160	0
24	164	125	1606	454	4248	4477	0	906	15	114	0
36	3217	180	545	372	7935	1455	0	358	10	122	0
48	2072	0	650	522	4858	2330	0	890	0	119	107
60	15019	85	120	835	1571	587	0	945	0	0	9
72	6267	26	76	586	6927	165	0	710	0	47	0
0	0	0	7738	0	4949	40	252	228	459	233	938
12	0	237	6138	35	6865	4833	116	772	109	23	0
24	0	145	4363	0	4651	9344	96	610	156	17	10
36	4620	183	2656	377	4059	7255	41	1187	205	36	234
48	6459	214	2302	646	3728	3391	20	1999	116	0	83
60	12255	44	261	1045	3740	524	0	1626	41	32	63
72	12829	69	181	489	3993	160	0	1189	29	121	29
